4000
1	3	127
2	3	50
3	2	114
4	2	106
5	2	186
6	1	141
7	3	51
8	2	110
9	1	4
10	2	37
11	2	8
12	1	19
13	1	62
14	2	125
15	1	157
16	3	83
17	2	76
18	2	137
19	2	11
20	3	114
21	3	161
22	2	81
23	3	193
24	3	199
25	3	139
26	2	199
27	3	30
28	2	40
29	2	114
30	1	9
31	2	176
32	3	100
33	2	76
34	3	199
35	3	45
36	1	82
37	3	64
38	1	131
39	1	121
40	3	193
41	2	58
42	1	28
43	2	48
44	1	188
45	2	72
46	2	139
47	3	132
48	1	159
49	2	63
50	1	76
51	3	13
52	2	168
53	3	154
54	3	147
55	2	150
56	3	67
57	1	42
58	2	166
59	3	111
60	1	98
61	2	140
62	2	3
63	3	183
64	1	175
65	1	107
66	1	150
67	2	164
68	3	192
69	2	13
70	1	14
71	2	124
72	1	162
73	1	35
74	1	187
75	1	167
76	3	89
77	1	149
78	3	196
79	3	135
80	2	81
81	3	65
82	2	174
83	2	94
84	2	78
85	2	53
86	1	18
87	2	172
88	3	112
89	1	53
90	3	91
91	1	167
92	1	28
93	2	83
94	2	190
95	3	66
96	3	61
97	3	35
98	3	2
99	3	131
100	2	57
101	3	169
102	1	165
103	3	49
104	3	125
105	2	42
106	2	71
107	2	34
108	2	109
109	2	77
110	3	10
111	1	114
112	2	116
113	3	134
114	1	65
115	1	191
116	1	10
117	1	109
118	1	11
119	3	87
120	3	88
121	1	9
122	2	62
123	1	83
124	3	146
125	3	22
126	2	169
127	2	115
128	1	156
129	3	9
130	3	72
131	1	117
132	1	95
133	3	61
134	3	109
135	2	180
136	3	42
137	2	68
138	1	130
139	1	72
140	3	86
141	3	73
142	3	107
143	1	67
144	3	193
145	2	33
146	1	87
147	1	146
148	2	51
149	3	142
150	2	176
151	3	8
152	2	181
153	1	162
154	1	78
155	2	81
156	2	32
157	3	153
158	2	146
159	2	185
160	1	132
161	1	164
162	1	135
163	2	180
164	2	190
165	3	189
166	2	139
167	1	22
168	2	58
169	2	189
170	3	154
171	1	168
172	3	116
173	2	15
174	3	110
175	3	103
176	1	123
177	3	167
178	2	180
179	1	24
180	1	72
181	2	19
182	3	90
183	3	80
184	2	194
185	3	59
186	2	2
187	2	137
188	2	121
189	2	106
190	3	76
191	3	88
192	2	34
193	1	94
194	3	67
195	1	6
196	3	136
197	3	165
198	2	104
199	2	172
200	3	173
201	3	81
202	3	196
203	3	172
204	3	189
205	1	126
206	3	14
207	2	31
208	2	81
209	2	64
210	2	118
211	1	82
212	1	69
213	2	100
214	3	20
215	2	84
216	1	102
217	2	188
218	1	199
219	3	74
220	2	83
221	1	163
222	1	187
223	2	46
224	3	61
225	2	165
226	1	175
227	1	82
228	3	86
229	3	6
230	1	102
231	1	42
232	1	174
233	2	119
234	2	122
235	3	139
236	2	32
237	1	183
238	2	66
239	2	7
240	2	89
241	1	98
242	2	27
243	1	44
244	2	109
245	2	63
246	1	26
247	1	74
248	3	62
249	3	115
250	1	58
251	2	46
252	3	61
253	2	160
254	1	177
255	1	100
256	1	109
257	3	179
258	1	65
259	2	151
260	2	16
261	1	200
262	2	99
263	2	80
264	3	183
265	2	107
266	2	166
267	3	108
268	3	111
269	3	162
270	3	185
271	2	59
272	2	75
273	1	164
274	3	92
275	3	39
276	1	121
277	3	20
278	3	63
279	2	127
280	2	180
281	2	14
282	2	191
283	3	107
284	3	85
285	2	139
286	1	95
287	3	84
288	3	132
289	3	5
290	2	54
291	2	121
292	2	179
293	1	21
294	1	142
295	2	118
296	2	63
297	2	55
298	1	49
299	2	104
300	1	4
301	1	57
302	2	182
303	3	29
304	2	154
305	1	89
306	3	127
307	1	111
308	1	128
309	3	139
310	2	115
311	2	108
312	2	26
313	1	95
314	1	95
315	3	52
316	1	154
317	3	97
318	1	104
319	1	98
320	1	113
321	3	64
322	2	147
323	2	2
324	1	121
325	3	186
326	1	158
327	3	184
328	1	14
329	3	23
330	1	104
331	3	126
332	1	25
333	3	121
334	2	96
335	1	91
336	3	101
337	1	102
338	1	188
339	1	9
340	1	153
341	1	37
342	3	30
343	2	90
344	3	48
345	1	105
346	3	29
347	3	140
348	2	125
349	1	15
350	2	177
351	1	168
352	2	23
353	1	67
354	3	139
355	1	66
356	2	16
357	3	140
358	2	73
359	1	195
360	3	78
361	1	53
362	3	65
363	3	121
364	2	183
365	2	61
366	3	150
367	3	15
368	1	26
369	2	66
370	3	60
371	1	130
372	1	44
373	3	102
374	1	23
375	2	54
376	3	194
377	3	21
378	3	98
379	2	139
380	2	167
381	3	92
382	3	49
383	3	148
384	3	164
385	2	116
386	3	16
387	1	149
388	3	144
389	2	151
390	1	94
391	3	31
392	3	39
393	1	117
394	2	64
395	2	193
396	1	184
397	1	163
398	3	76
399	1	60
400	3	78
401	2	143
402	1	74
403	2	152
404	1	41
405	1	19
406	3	26
407	1	42
408	3	61
409	2	144
410	3	171
411	3	64
412	3	134
413	1	114
414	3	45
415	1	141
